idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
45,46,43,3,0.491349,0.658933,0.716854,40,3,6,0.898876,40,3,6,0.898876,40,3,6,0.898876,40,3,6,0.898876,40,3,6,0.898876,40,3,6,0.898876,40,3,6,0.898876,27,16,19,0.606742,12,31,34,0.269663,0,43,46,0.0
46,8,8,0,0.491475,0.659045,0.725,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,5,3,3,0.625,3,5,5,0.375,2,6,6,0.25,0,8,8,0.0
47,10,11,1,0.489401,0.657178,0.580952,9,2,1,0.857143,9,2,1,0.857143,9,2,1,0.857143,9,2,1,0.857143,8,3,2,0.761905,7,4,3,0.666667,6,5,4,0.571429,4,7,6,0.380952,0,11,10,0.0,0,11,10,0.0
48,30,26,4,0.214764,0.35359,0.328571,22,4,8,0.785714,18,8,12,0.642857,14,12,16,0.5,11,15,19,0.392857,9,17,21,0.321429,6,20,24,0.214286,5,21,25,0.178571,5,21,25,0.178571,2,24,28,0.071429,0,26,30,0.0
49,2,4,2,0.349012,0.517434,0.233333,1,3,1,0.333333,1,3,1,0.333333,1,3,1,0.333333,1,3,1,0.333333,1,3,1,0.333333,1,3,1,0.333333,1,3,1,0.333333,0,4,2,0.0,0,4,2,0.0,0,4,2,0.0
50,13,13,0,0.455729,0.626118,0.692308,13,0,0,1.0,13,0,0,1.0,13,0,0,1.0,12,1,1,0.923077,12,1,1,0.923077,10,3,3,0.769231,9,4,4,0.692308,7,6,6,0.538462,1,12,12,0.076923,0,13,13,0.0
51,19,18,1,0.575536,0.730591,0.524324,15,3,4,0.810811,14,4,5,0.756757,14,4,5,0.756757,14,4,5,0.756757,14,4,5,0.756757,10,8,9,0.540541,9,9,10,0.486486,6,12,13,0.324324,1,17,18,0.054054,0,18,19,0.0
52,49,42,7,0.411781,0.583349,0.345055,36,6,13,0.791209,31,11,18,0.681319,30,12,19,0.659341,26,16,23,0.571429,19,23,30,0.417582,11,31,38,0.241758,3,39,46,0.065934,1,41,48,0.021978,0,42,49,0.0,0,42,49,0.0
53,11,12,1,0.555705,0.714409,0.652174,11,1,0,0.956522,11,1,0,0.956522,11,1,0,0.956522,11,1,0,0.956522,11,1,0,0.956522,9,3,2,0.782609,4,8,7,0.347826,4,8,7,0.347826,3,9,8,0.26087,0,12,11,0.0
54,13,12,1,0.761273,0.864457,0.776,12,0,1,0.96,12,0,1,0.96,12,0,1,0.96,12,0,1,0.96,12,0,1,0.96,12,0,1,0.96,12,0,1,0.96,10,2,3,0.8,3,9,10,0.24,0,12,13,0.0
55,13,12,1,0.769663,0.869841,0.808,12,0,1,0.96,12,0,1,0.96,12,0,1,0.96,12,0,1,0.96,12,0,1,0.96,11,1,2,0.88,11,1,2,0.88,10,2,3,0.8,7,5,6,0.56,2,10,11,0.16
56,16,13,3,0.445477,0.616373,0.462069,11,2,5,0.758621,10,3,6,0.689655,9,4,7,0.62069,9,4,7,0.62069,8,5,8,0.551724,7,6,9,0.482759,6,7,10,0.413793,5,8,11,0.344828,2,11,14,0.137931,0,13,16,0.0
57,19,14,5,0.790674,0.883102,0.684848,14,0,5,0.848485,14,0,5,0.848485,14,0,5,0.848485,14,0,5,0.848485,13,1,6,0.787879,13,1,6,0.787879,12,2,7,0.727273,11,3,8,0.666667,8,6,11,0.484848,0,14,19,0.0
58,15,13,2,0.652979,0.790063,0.407143,12,1,3,0.857143,12,1,3,0.857143,10,3,5,0.714286,9,4,6,0.642857,7,6,8,0.5,4,9,11,0.285714,1,12,14,0.071429,1,12,14,0.071429,1,12,14,0.071429,0,13,15,0.0
59,8,7,1,0.52904,0.69199,0.586667,7,0,1,0.933333,7,0,1,0.933333,7,0,1,0.933333,7,0,1,0.933333,6,1,2,0.8,5,2,3,0.666667,4,3,4,0.533333,1,6,7,0.133333,0,7,8,0.0,0,7,8,0.0
60,35,33,2,0.491575,0.659135,0.714706,32,1,3,0.941176,32,1,3,0.941176,32,1,3,0.941176,32,1,3,0.941176,32,1,3,0.941176,31,2,4,0.911765,29,4,6,0.852941,18,15,17,0.529412,5,28,30,0.147059,0,33,35,0.0
61,64,48,16,0.404315,0.575818,0.494643,43,5,21,0.767857,40,8,24,0.714286,38,10,26,0.678571,38,10,26,0.678571,36,12,28,0.642857,31,17,33,0.553571,23,25,41,0.410714,19,29,45,0.339286,9,39,55,0.160714,0,48,64,0.0
62,21,16,5,0.387968,0.559045,0.394595,13,3,8,0.702703,12,4,9,0.648649,11,5,10,0.594595,11,5,10,0.594595,11,5,10,0.594595,11,5,10,0.594595,3,13,18,0.162162,1,15,20,0.054054,0,16,21,0.0,0,16,21,0.0
63,14,13,1,0.802504,0.890433,0.844444,13,0,1,0.962963,13,0,1,0.962963,13,0,1,0.962963,13,0,1,0.962963,13,0,1,0.962963,13,0,1,0.962963,12,1,2,0.888889,12,1,2,0.888889,9,4,5,0.666667,3,10,11,0.222222
64,9,9,0,0.54716,0.707309,0.688889,9,0,0,1.0,9,0,0,1.0,9,0,0,1.0,9,0,0,1.0,9,0,0,1.0,8,1,1,0.888889,5,4,4,0.555556,3,6,6,0.333333,1,8,8,0.111111,0,9,9,0.0
65,15,13,2,0.768076,0.868827,0.778571,13,0,2,0.928571,13,0,2,0.928571,13,0,2,0.928571,13,0,2,0.928571,13,0,2,0.928571,13,0,2,0.928571,12,1,3,0.857143,12,1,3,0.857143,7,6,8,0.5,0,13,15,0.0
66,10,12,2,0.531985,0.694504,0.563636,10,2,0,0.909091,10,2,0,0.909091,10,2,0,0.909091,10,2,0,0.909091,9,3,1,0.818182,6,6,4,0.545455,4,8,6,0.363636,1,11,9,0.090909,1,11,9,0.090909,1,11,9,0.090909
67,8,8,0,0.759468,0.863293,0.475,6,2,2,0.75,6,2,2,0.75,6,2,2,0.75,6,2,2,0.75,5,3,3,0.625,5,3,3,0.625,3,5,5,0.375,1,7,7,0.125,0,8,8,0.0,0,8,8,0.0
68,8,8,0,0.466013,0.635756,0.8,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,5,3,3,0.625,3,5,5,0.375,0,8,8,0.0
69,13,11,2,0.452607,0.623166,0.608333,10,1,3,0.833333,10,1,3,0.833333,10,1,3,0.833333,10,1,3,0.833333,10,1,3,0.833333,9,2,4,0.75,7,4,6,0.583333,7,4,6,0.583333,0,11,13,0.0,0,11,13,0.0
70,8,8,0,0.557248,0.715683,0.6,7,1,1,0.875,7,1,1,0.875,7,1,1,0.875,7,1,1,0.875,7,1,1,0.875,7,1,1,0.875,4,4,4,0.5,1,7,7,0.125,1,7,7,0.125,0,8,8,0.0
71,5,5,0,0.581148,0.735096,0.58,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,5,0,0,1.0,4,1,1,0.8,3,2,2,0.6,2,3,3,0.4,0,5,5,0.0,0,5,5,0.0,0,5,5,0.0
72,15,11,4,0.80895,0.894386,0.6,10,1,5,0.769231,10,1,5,0.769231,9,2,6,0.692308,9,2,6,0.692308,9,2,6,0.692308,9,2,6,0.692308,8,3,7,0.615385,8,3,7,0.615385,6,5,9,0.461538,0,11,15,0.0
73,10,7,3,0.782911,0.878239,0.717647,7,0,3,0.823529,7,0,3,0.823529,7,0,3,0.823529,7,0,3,0.823529,7,0,3,0.823529,7,0,3,0.823529,7,0,3,0.823529,5,2,5,0.588235,5,2,5,0.588235,2,5,8,0.235294
74,10,9,1,0.501994,0.668437,0.652632,9,0,1,0.947368,9,0,1,0.947368,9,0,1,0.947368,9,0,1,0.947368,8,1,2,0.842105,8,1,2,0.842105,5,4,5,0.526316,3,6,7,0.315789,2,7,8,0.210526,0,9,10,0.0
75,38,33,5,0.448361,0.619129,0.380282,28,5,10,0.788732,27,6,11,0.760563,24,9,14,0.676056,22,11,16,0.619718,19,14,19,0.535211,10,23,28,0.28169,4,29,34,0.112676,1,32,37,0.028169,0,33,38,0.0,0,33,38,0.0
76,1,1,0,0.464706,0.634538,0.7,1,0,0,1.0,1,0,0,1.0,1,0,0,1.0,1,0,0,1.0,1,0,0,1.0,1,0,0,1.0,1,0,0,1.0,0,1,1,0.0,0,1,1,0.0,0,1,1,0.0
77,41,38,3,0.519947,0.684165,0.653165,35,3,6,0.886076,35,3,6,0.886076,35,3,6,0.886076,34,4,7,0.860759,34,4,7,0.860759,31,7,10,0.78481,28,10,13,0.708861,18,20,23,0.455696,8,30,33,0.202532,0,38,41,0.0
78,14,10,4,0.794831,0.885689,0.716667,10,0,4,0.833333,10,0,4,0.833333,10,0,4,0.833333,10,0,4,0.833333,10,0,4,0.833333,10,0,4,0.833333,9,1,5,0.75,9,1,5,0.75,7,3,7,0.583333,1,9,13,0.083333
