idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
68,12,5,7,0.840039,0.913067,0.411765,4,1,8,0.470588,4,1,8,0.470588,4,1,8,0.470588,4,1,8,0.470588,4,1,8,0.470588,3,2,9,0.352941,3,2,9,0.352941,3,2,9,0.352941,3,2,9,0.352941,3,2,9,0.352941
69,18,2,16,0.88722,0.94024,0.04,1,1,17,0.1,1,1,17,0.1,1,1,17,0.1,1,1,17,0.1,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0,0,2,18,0.0
70,15,3,12,0.834903,0.910024,0.166667,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,1,2,14,0.111111,1,2,14,0.111111,1,2,14,0.111111,1,2,14,0.111111,1,2,14,0.111111
71,10,3,7,0.872849,0.932108,0.307692,2,1,8,0.307692,2,1,8,0.307692,2,1,8,0.307692,2,1,8,0.307692,2,1,8,0.307692,2,1,8,0.307692,2,1,8,0.307692,2,1,8,0.307692,2,1,8,0.307692,2,1,8,0.307692
72,16,6,10,0.835706,0.910501,0.309091,4,2,12,0.363636,4,2,12,0.363636,4,2,12,0.363636,4,2,12,0.363636,3,3,13,0.272727,3,3,13,0.272727,3,3,13,0.272727,3,3,13,0.272727,3,3,13,0.272727,3,3,13,0.272727
73,18,1,17,0.888707,0.941075,0.0,0,1,18,0.0,0,1,18,0.0,0,1,18,0.0,0,1,18,0.0,0,1,18,0.0,0,1,18,0.0,0,1,18,0.0,0,1,18,0.0,0,1,18,0.0,0,1,18,0.0
74,10,5,5,0.844757,0.915846,0.533333,4,1,6,0.533333,4,1,6,0.533333,4,1,6,0.533333,4,1,6,0.533333,4,1,6,0.533333,4,1,6,0.533333,4,1,6,0.533333,4,1,6,0.533333,4,1,6,0.533333,4,1,6,0.533333
75,14,3,11,0.884786,0.938872,0.129412,2,1,12,0.235294,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647,1,2,13,0.117647
76,7,3,4,0.831772,0.908161,0.2,1,2,6,0.2,1,2,6,0.2,1,2,6,0.2,1,2,6,0.2,1,2,6,0.2,1,2,6,0.2,1,2,6,0.2,1,2,6,0.2,1,2,6,0.2,1,2,6,0.2
77,10,5,5,0.823754,0.903361,0.32,5,0,5,0.666667,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,1,4,9,0.133333,1,4,9,0.133333,1,4,9,0.133333,1,4,9,0.133333
